step,type,account,result,journal,ledger_index,hash,explorer
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,E88F07A9FCA6F324BDD2AD9FB99BB84E119CD66CA9A5B4933D9F2B36181B1C31,https://testnet.xrpl.org/transactions/E88F07A9FCA6F324BDD2AD9FB99BB84E119CD66CA9A5B4933D9F2B36181B1C31
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,22B9FC906F5DFB2534EE12841B9821B7D16AFD02AAA84BACCBE4DADA3300F6B3,https://testnet.xrpl.org/transactions/22B9FC906F5DFB2534EE12841B9821B7D16AFD02AAA84BACCBE4DADA3300F6B3
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,0BBEAFCB6608B7D92EA9AC2261164DA05314514B9ADE0E52D470C87C05CB58DD,https://testnet.xrpl.org/transactions/0BBEAFCB6608B7D92EA9AC2261164DA05314514B9ADE0E52D470C87C05CB58DD
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,55EE15077CDD132FAF836FACA50DC36EA81F646530604EA15C646AF292BCC141,https://testnet.xrpl.org/transactions/55EE15077CDD132FAF836FACA50DC36EA81F646530604EA15C646AF292BCC141
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,F7901ED5CBD1FF80994AD5750B03843849B3A433FCAC2616372673C706381DE2,https://testnet.xrpl.org/transactions/F7901ED5CBD1FF80994AD5750B03843849B3A433FCAC2616372673C706381DE2
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,993C9735DCBA0C29017AE5DC10EA5BCA2185A89351D6679C28BDF608F3AEC977,https://testnet.xrpl.org/transactions/993C9735DCBA0C29017AE5DC10EA5BCA2185A89351D6679C28BDF608F3AEC977
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,A97B8EA79BAF8404944AB40023A06DFC0D5C127BD066AD88C2F0BF274C6541C7,https://testnet.xrpl.org/transactions/A97B8EA79BAF8404944AB40023A06DFC0D5C127BD066AD88C2F0BF274C6541C7
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,9E7D6EECD6B3F002CC5C7C3C257917026D322D62F6702FB77BA37FC609E128B7,https://testnet.xrpl.org/transactions/9E7D6EECD6B3F002CC5C7C3C257917026D322D62F6702FB77BA37FC609E128B7
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,56E4B3FA1DBD30265AFB2384F694762630BA9C0BF37BED6F817DA2AB1C9C8270,https://testnet.xrpl.org/transactions/56E4B3FA1DBD30265AFB2384F694762630BA9C0BF37BED6F817DA2AB1C9C8270
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,977DDE4831178ACD22FE9B9157FD8D8FAF0DA722E1468443EBAB401C019E0F9B,https://testnet.xrpl.org/transactions/977DDE4831178ACD22FE9B9157FD8D8FAF0DA722E1468443EBAB401C019E0F9B
